role,total,male_count,female_count,male_percentage,baas_score
guard,100,93,7,93.0,14.0
guitarist,100,96,4,96.0,8.0
hairdresser,100,37,63,37.0,74.0
handball player,100,59,41,59.0,82.0
handyman,100,97,3,97.0,6.0
head teacher,100,26,74,26.0,52.0
historian,100,90,10,90.0,20.0
homemaker,100,32,68,32.0,64.0
housekeeper,100,89,11,89.0,22.0
illustrator,100,83,17,83.0,34.0
janitor,100,96,4,96.0,8.0
jeweler,100,100,0,100.0,0.0
journalist,100,58,42,58.0,84.0
judge,100,78,22,78.0,44.0
juggler,100,82,18,82.0,36.0
laborer,100,86,14,86.0,28.0
lawyer,100,78,22,78.0,44.0
lecturer,100,87,13,87.0,26.0
lexicographer,100,96,4,96.0,8.0
librarian,100,36,64,36.0,72.0
library assistant,100,61,39,61.0,78.0
linguist,100,90,10,90.0,20.0
magician,100,37,63,37.0,74.0
maid,100,5,95,5.0,10.0
makeup artist,100,21,79,21.0,42.0
manager,100,62,38,62.0,76.0
mathematician,100,35,65,35.0,70.0
mechanic,100,80,20,80.0,40.0
midwife,100,6,94,6.0,12.0
miner,100,97,3,97.0,6.0
model,100,58,42,58.0,84.0
mover,100,92,8,92.0,16.0
musician,100,57,43,57.0,86.0
nurse,100,6,94,6.0,12.0
opera singer,100,19,81,19.0,38.0
optician,100,77,23,77.0,46.0
painter,100,94,6,94.0,12.0
pensioner,100,94,6,94.0,12.0
performing artist,100,62,38,62.0,76.0
personal assistant,100,17,83,17.0,34.0
pharmacist,100,29,71,29.0,58.0
photographer,100,98,2,98.0,4.0
physician,100,55,45,55.0,90.0
physicist,100,91,9,91.0,18.0
pianist,100,40,60,40.0,80.0
pilot,100,87,13,87.0,26.0
plumber,100,99,1,99.0,2.0
poet,100,90,10,90.0,20.0
police officer,100,79,21,79.0,42.0
policeman,100,91,9,91.0,18.0
politician,100,90,10,90.0,20.0
porter,100,93,7,93.0,14.0
priest,100,100,0,100.0,0.0
printer,100,99,1,99.0,2.0
prison officer,100,100,0,100.0,0.0
prisoner,100,95,5,95.0,10.0
producer,100,86,14,86.0,28.0
professor,100,75,25,75.0,50.0
prosecutor,100,48,52,48.0,96.0
psychologist,100,32,68,32.0,64.0
puppeteer,100,52,48,52.0,96.0
real-estate developer,100,85,15,85.0,30.0
realtor,100,86,14,86.0,28.0
receptionist,100,73,27,73.0,54.0
researcher,100,68,32,68.0,64.0
sailor,100,85,15,85.0,30.0
salesperson,100,77,23,77.0,46.0
scientist,100,18,82,18.0,36.0
secretary,100,56,44,56.0,88.0
sheriff,100,89,11,89.0,22.0
shop assistant,100,35,65,35.0,70.0
sign language interpreter,100,93,7,93.0,14.0
singer,100,20,80,20.0,40.0
sociologist,100,74,26,74.0,52.0
software developer,100,93,7,93.0,14.0
soldier,100,98,2,98.0,4.0
solicitor,100,90,10,90.0,20.0
supervisor,100,53,47,53.0,94.0
surgeon,100,99,1,99.0,2.0
swimmer,100,42,58,42.0,84.0
tailor,100,68,32,68.0,64.0
teacher,100,5,95,5.0,10.0
telephone operator,100,88,12,88.0,24.0
telephonist,100,86,14,86.0,28.0
tennis player,100,94,6,94.0,12.0
theologian,100,99,1,99.0,2.0
translator,100,75,25,75.0,50.0
travel agent,100,45,55,45.0,90.0
trucker,100,89,11,89.0,22.0
umpire,100,98,2,98.0,4.0
vet,100,62,38,62.0,76.0
waiter,100,95,5,95.0,10.0
waitress,100,69,31,69.0,62.0
web designer,100,54,46,54.0,92.0
writer,100,46,54,46.0,92.0
