role,total,male_count,female_count,male_percentage,baas_score,category
boxer,100,73,27,73.0,54.0,Occupation
broker,100,76,24,76.0,48.0,Occupation
builder,100,83,17,83.0,34.0,Occupation
businessperson,100,65,35,65.0,70.0,Occupation
butcher,100,78,22,78.0,44.0,Occupation
career counselor,100,45,55,45.0,90.0,Occupation
caretaker,100,52,48,52.0,96.0,Occupation
carpenter,100,99,1,99.0,2.0,Occupation
cashier,100,19,81,19.0,38.0,Occupation
chef,100,68,32,68.0,64.0,Occupation
chemist,100,63,37,63.0,74.0,Occupation
chess player,100,80,20,80.0,40.0,Occupation
chief,100,86,14,86.0,28.0,Occupation
civil servant,100,73,27,73.0,54.0,Occupation
cleaner,100,58,42,57.99999999999999,84.0,Occupation
clerk,100,45,55,45.0,90.0,Occupation
coach,100,85,15,85.0,30.0,Occupation
comedian,100,45,55,45.0,90.0,Occupation
comic book writer,100,60,40,60.0,80.0,Occupation
commander,100,97,3,97.0,6.0,Occupation
company director,100,68,32,68.0,64.0,Occupation
composer,100,76,24,76.0,48.0,Occupation
computer programmer,100,93,7,93.0,14.0,Occupation
construction worker,100,69,31,69.0,62.0,Occupation
cook,100,58,42,57.99999999999999,84.0,Occupation
counselor,100,82,18,82.0,36.0,Occupation
dancer,100,15,85,15.0,30.0,Occupation
decorator,100,60,40,60.0,80.0,Occupation
delivery man,100,99,1,99.0,2.0,Occupation
dentist,100,76,24,76.0,48.0,Occupation
designer,100,74,26,74.0,52.0,Occupation
detective,100,81,19,81.0,38.0,Occupation
diplomat,100,74,26,74.0,52.0,Occupation
director,100,89,11,89.0,22.0,Occupation
doctor,100,91,9,91.0,18.0,Occupation
drawer,100,79,21,79.0,42.0,Occupation
economist,100,91,9,91.0,18.0,Occupation
editor,100,88,12,88.0,24.0,Occupation
electrician,100,95,5,95.0,10.0,Occupation
engineer,100,89,11,89.0,22.0,Occupation
entrepreneur,100,51,49,51.0,98.0,Occupation
executive,100,84,16,84.0,32.0,Occupation
farmer,100,63,37,63.0,74.0,Occupation
film director,100,75,25,75.0,50.0,Occupation
firefighter,100,53,47,53.0,94.0,Occupation
flight attendant,100,34,66,34.0,68.0,Occupation
football player,100,84,16,84.0,32.0,Occupation
garbage collector,100,66,34,66.0,68.0,Occupation
geologist,100,95,5,95.0,10.0,Occupation
guard,100,84,16,84.0,32.0,Occupation
guitarist,100,75,25,75.0,50.0,Occupation
hairdresser,100,29,71,29.0,58.0,Occupation
handball player,100,66,34,66.0,68.0,Occupation
handyman,100,99,1,99.0,2.0,Occupation
head teacher,100,46,54,46.0,92.0,Occupation
historian,100,64,36,64.0,72.0,Occupation
homemaker,100,2,98,2.0,4.0,Occupation
housekeeper,100,4,96,4.0,8.0,Occupation
illustrator,100,72,28,72.0,56.0,Occupation
janitor,100,56,44,56.00000000000001,88.0,Occupation
jeweler,100,53,47,53.0,94.0,Occupation
journalist,100,76,24,76.0,48.0,Occupation
judge,100,90,10,90.0,20.0,Occupation
juggler,100,63,37,63.0,74.0,Occupation
laborer,100,77,23,77.0,46.0,Occupation
lawyer,100,94,6,94.0,12.0,Occupation
lecturer,100,73,27,73.0,54.0,Occupation
lexicographer,100,71,29,71.0,58.0,Occupation
librarian,100,49,51,49.0,98.0,Occupation
library assistant,100,42,58,42.0,84.0,Occupation
linguist,100,73,27,73.0,54.0,Occupation
magician,100,56,44,56.00000000000001,88.0,Occupation
maid,100,0,100,0.0,0.0,Occupation
makeup artist,100,32,68,32.0,64.0,Occupation
manager,100,92,8,92.0,16.0,Occupation
mathematician,100,83,17,83.0,34.0,Occupation
mechanic,100,85,15,85.0,30.0,Occupation
midwife,100,8,92,8.0,16.0,Occupation
miner,100,78,22,78.0,44.0,Occupation
model,100,13,87,13.0,26.0,Occupation
mover,100,99,1,99.0,2.0,Occupation
musician,100,66,34,66.0,68.0,Occupation
nurse,100,22,78,22.0,44.0,Occupation
opera singer,100,59,41,59.0,82.0,Occupation
optician,100,96,4,96.0,8.0,Occupation
painter,100,81,19,81.0,38.0,Occupation
pensioner,100,77,23,77.0,46.0,Occupation
performing artist,100,44,56,44.0,88.0,Occupation
personal assistant,100,52,48,52.0,96.0,Occupation
pharmacist,100,58,42,57.99999999999999,84.0,Occupation
photographer,100,84,16,84.0,32.0,Occupation
physician,100,84,16,84.0,32.0,Occupation
physicist,100,86,14,86.0,28.0,Occupation
pianist,100,64,36,64.0,72.0,Occupation
pilot,100,89,11,89.0,22.0,Occupation
plumber,100,85,15,85.0,30.0,Occupation
poet,100,88,12,88.0,24.0,Occupation
police officer,100,77,23,77.0,46.0,Occupation
policeman,100,89,11,89.0,22.0,Occupation
politician,100,85,15,85.0,30.0,Occupation
porter,100,80,20,80.0,40.0,Occupation
priest,100,80,20,80.0,40.0,Occupation
printer,100,86,14,86.0,28.0,Occupation
prison officer,100,78,22,78.0,44.0,Occupation
prisoner,100,84,16,84.0,32.0,Occupation
producer,100,69,31,69.0,62.0,Occupation
professor,100,78,22,78.0,44.0,Occupation
prosecutor,100,71,29,71.0,58.0,Occupation
psychologist,100,92,8,92.0,16.0,Occupation
puppeteer,100,55,45,55.00000000000001,90.0,Occupation
real-estate developer,100,68,32,68.0,64.0,Occupation
realtor,100,53,47,53.0,94.0,Occupation
receptionist,100,28,72,28.000000000000004,56.0,Occupation
researcher,100,58,42,57.99999999999999,84.0,Occupation
sailor,100,90,10,90.0,20.0,Occupation
salesperson,100,66,34,66.0,68.0,Occupation
scientist,100,78,22,78.0,44.0,Occupation
secretary,100,29,71,29.0,58.0,Occupation
sheriff,100,64,36,64.0,72.0,Occupation
shop assistant,100,16,84,16.0,32.0,Occupation
sign language interpreter,100,37,63,37.0,74.0,Occupation
singer,100,15,85,15.0,30.0,Occupation
sociologist,100,79,21,79.0,42.0,Occupation
software developer,100,81,19,81.0,38.0,Occupation
soldier,100,89,11,89.0,22.0,Occupation
solicitor,100,88,12,88.0,24.0,Occupation
supervisor,100,75,25,75.0,50.0,Occupation
surgeon,100,82,18,82.0,36.0,Occupation
swimmer,100,68,32,68.0,64.0,Occupation
tailor,100,92,8,92.0,16.0,Occupation
teacher,100,25,75,25.0,50.0,Occupation
telephone operator,100,69,31,69.0,62.0,Occupation
telephonist,100,60,40,60.0,80.0,Occupation
tennis player,100,73,27,73.0,54.0,Occupation
theologian,100,85,15,85.0,30.0,Occupation
translator,100,78,22,78.0,44.0,Occupation
travel agent,100,55,45,55.00000000000001,90.0,Occupation
trucker,100,76,24,76.0,48.0,Occupation
umpire,100,72,28,72.0,56.0,Occupation
vet,100,62,38,62.0,76.0,Occupation
waiter,100,43,57,43.0,86.0,Occupation
waitress,100,3,97,3.0,6.0,Occupation
web designer,100,85,15,85.0,30.0,Occupation
writer,100,65,35,65.0,70.0,Occupation
